Translator,Field Name,KV NL Value,KV BEFR Value,Lengte KVNL,Lengte KV BEFR,Length difference,Untranslated?,Question to developer,Feedback/suggestion to translator,iOS Field Name,iOS Value,
Ans,,removed,removed,7,7,100%,TRUE,,Please translate,,, 
Ans,activity__smart_shelf__message_cart_change_placeholder__|__multiple,Toegevoegd aan winkelmand:,Ajoutés au panier d'achats :,26,28,108%,FALSE,"field name says multiple, does this mean it's about multiple products (added or removed from cart) ?",Ik denk dat dit wel eens meervoud zou moeten zijn (zie field name in vgl met 193 en 194),,,
Ans,,Verwijderd uit winkelmand:,Supprimés du panier d'achats :,26,30,115%,FALSE,,,,,
Ans,activity__smart_shelf__message_cart_change_placeholder__|__single,Toegevoegd aan winkelmand:,Ajouté au panier d'achats :,26,27,104%,FALSE,,,,,
Ans,,Verwijderd uit winkelmand:,Supprimé du panier d'achats :,26,29,112%,FALSE,,,,,
Ans,activity__smart_shelf__promo_offer_message__buy_x__more_get_y,Koop %1$shet?n en krijg  %2$d. met %3$d. korting,Achetez %1$s \net recevez %2$d. avec %3$d. de remise,48,52,108%,FALSE,What can %1$shet?n be replaced by in this instance ? ?n seems incorrect. Should there be a dot after $d?,Achetez-le > Achetez of Achetez le/la ... afhankelijk van wat er in de plaats van %1$s komt  ,,,
Ans,activity__smart_shelf__promo_offer_message__buy_x__get_y__=,%1$sn en krijg %2$d gratis,%1$sn et recevez gratuitement %2$d,26,34,131%,FALSE,,,,,
Ans,activity__smart_shelf__promo_offer_message__buy_x__get_y__with_z_discount_off,%1$snNatake %2$dold meer,%1$snNatake %2$dold plus,24,24,100%,FALSE,What does this mean?,,,,
Ans,activity__smart_shelf__promo_offer_message__redeemed,%1$s is verwisseld,%1$s a été changé,18,17,94%,FALSE,,,,,
Ans,activity__smart_shelf__share_text,Het volgende product wil ik met jou delen:%1$s,J'aimerais partager le produit suivant avec vous : %1$s,46,55,120%,FALSE,,,ShareTextBeginning,Het volgende product wil ik met jou delen:,
Ans,activity__store__details__closed_today,Vandaag gesloten,Fermé aujourd'hui,16,17,106%,FALSE,,,,,
Ans,activity__store__details__store__address,Adres,Adresse,5,7,140%,FALSE,,,,,
Ans,activity__store__details__store__phone,Sla telefoonnummer op,Sauvegarder le numéro de téléphone,21,34,162%,FALSE,,,,,
Ans,activity__store__details__store__opening_hours,Openingstijden,Heures d'ouverture,14,18,129%,FALSE,,,,,
Ans,activity__store__picker_hint_search,Zoeken...,Recherche en cours,9,18,200%,FALSE,,,,,
Ans,activity__store__location__store_opening_hours,Openingstijden,Heures d'ouverture,14,18,129%,FALSE,,,,,
Ans,activity__store__location__search_store__name,Vind de dichtstbijzijnde Kruidvat winkel,Trouver un magasin Kruidvat à proximité,40,39,98%,FALSE,,,,,
Ans,activity__store__location__search_store__location,Zoek een winkel,Chercher un magasin,15,19,127%,FALSE,,,,,
Ans,activity__store__location__favourite_store__search_select,Zoek favoriete winkel en selecteer,Sélectionner un magasin préféré,34,31,91%,FALSE,,,,,
Ans,activity__store__location__favourite_store__mark_as,Selecteer als favoriete winkel,Sélectionner comme magasin préféré,30,34,113%,FALSE,,,,,
Ans,activity__blog_video_player_time_unset,0:00,0:00,4,4,100%,TRUE,,,,,
Ans,activity__profile__tab_daily_deals,AANBIEDING,PROMOTION,10,9,90%,FALSE,,,,,
Ans,activity__profile__license_agreement__terms_and_conditions,Algemene Voorwaarden,Conditions Générales,20,20,100%,FALSE,,,,,
Ans,activity__profile__license_agreement__privacy_policy,Privacy beleid,Politique de confidentialité,14,28,200%,FALSE,,Confidentialité > Politique de confidentialité ,PrivacyStatement,Privacy beleid,
Ans,activity__profile__double_action_minus,Verwijderen,Supprimer,11,9,82%,FALSE,,,,,
Ans,activity__profile__personal_marketing_policy__formatted,Als je onderstaande opties aanvinkt geef je aan dat je ons %1$s kent en dat je onze persoonlijke marketingcommunicatie wil ontvangen. Bedankt daarvoor!,"En cochant les options suivantes, vous déclarez connaître notre %1$s et vouloir recevoir nos communications personnalisées. Merci !",151,131,87%,FALSE,,,,,
Ans,activity__profile__personal_marketing_policy__text,Privacybeleid,Politique de confidentialité,13,28,215%,FALSE,,,,,
Ans,activity__profile__daily_deals__no_deals,"Sorry, nog geen dagdeals! Probeer het later nog eens","Désolés, il n'y a pas encore de promo du jour ! Veuillez réessayer plus tard",52,76,146%,FALSE,,,,"Sorry, nog geen dagdeals! Probeer het later nog eens",
Ans,activity__profile__daily_deals__expiration_timer,Deze deal verloopt over %1$s,Cette promo se termine dans %1$s,28,32,114%,FALSE,,,TimerLabelTexInactive,Deze deal verloopt over,
Ans,activity__profile__daily_deals__valid__timer,Geldig  voor %1$s,Valable pour %1$s,17,17,100%,FALSE,,,,,
Ans,activity__profile__daily_deals__valid__until,Na activatie is deze deal geldig t/m %1%s,"Après activation, l'offre est valable jusqu'au %1%s inclus",41,58,141%,FALSE,,,ValidDatePlaceholder,Geldig t/m,
Ans,activity__profile__daily_deals__days,Dagen,Jours,5,5,100%,FALSE,,,DailyDeals,dagen,
Ans,activity__profile__daily_deals__expanded_activate,Activeer,Activer,8,7,88%,FALSE,,,,,
Ans,activity__profile__daily_deals__activation_generic_error,"Er gaat iets fout, probeer opnieuw.","Une erreur est survenue, veuillez réessayer.",35,44,126%,FALSE,,,,,
Ans,activity__profile__edit__logged_in_as,Ingelogd als: %1$s,Connecté comme : %1$s,18,21,117%,FALSE,,,Message,Ingelogd als:,
Ans,activity__profile__edit__birth_date_format,%1$s.%2$s.%3$s,%1$s.%2$s.%3$s,14,14,100%,TRUE,,,,,
Ans,activity__profile__edit__cancel_action,Annuleren,Annuler,9,7,78%,FALSE,,,,,
Ans,activity__profile__edit__logout_action,Uitloggen,Déconnexion,9,11,122%,FALSE,,,,,
Ans,activity__profile__edit__hint__birth_date,Geboortedatum,Date de naissance,13,17,131%,FALSE,,,BirthdayPlaceholder,Geboortedatum,
Ans,activity__profile__edit__hint__email,Mail,E-mail,4,6,150%,FALSE,,,,,
Ans,activity__profile__edit__hint__firstname,Voornaam,Prénom,8,6,75%,FALSE,,,,,
Ans,activity__profile__edit__hint__lastname,Achternaam,Nom de famille,10,14,140%,FALSE,,,LastNamePlaceholder,Achternaam,
Ans,activity__profile__edit__hint__infix,Tussenvoegsel,Préfixe,13,7,54%,FALSE,"Belgium doesn't use infixes, please delete thise element from the app.",,InfixNamePlaceholder,Tussenvoegsel,
Ans,activity__profile__edit__user__hint_passport,Paspoortnummer,Numéro de passeport,14,19,136%,FALSE,voor BE : nummer identiteitskaart ?,carte d'identité ?,PassportIdPlaceholder,Paspoortnummer,
Ans,activity__profile__edit__user__information,Profiel aanpassen,Adapter le profil,17,17,100%,FALSE,,Adapter votre profil ?,,,
Ans,activity__profile__edit__user__with__email_exists,Gebruiker met %1$s e-mail bestaat reeds,L'adresse e-mail %1$s est déjà utilisée,39,39,100%,FALSE,,,,,
Ans,activity__profile__edit__user__with__id_exists,Gebruiker met %1$s id bestaat reeds,L'identifiant %1$s est déjà utilisé,35,35,100%,FALSE,,,,,
Ans,activity__profile__toolbar_done,Klaar,Terminé,5,7,140%,FALSE,,,DialogDoneButton,Klaar,
Ans,activity__profile__logout,Uitloggen,Déconnexion,9,11,122%,FALSE,,,,,
Ans,activity__profile__bottom_bar_title__orders,BESTELLINGEN,COMMANDES,12,9,75%,FALSE,,,,,
Ans,activity__profile__bottom_bar_title__addresses,ADRES,ADRESSE,5,7,140%,FALSE,,,,,
Ans,activity__profile__bottom_bar_title__credit_cards,Creditcards,Cartes bancaires,11,16,145%,FALSE,Only credit cards or also (other) bank cards?,,CreditCard,Creditcard,
Ans,activity__profile__bottom_bar_title__club_membership,JOUW KAART,VOTRE CARTE,10,11,110%,FALSE,,,,,
Ans,activity__profile__bottom_bar_title__preferences,Voorkeuren,Préférences,10,11,110%,FALSE,,,Preferences,Voorkeuren,
Ans,activity__profile__bottom_bar_title__stores,WINKELS,MAGASINS,7,8,114%,FALSE,,,,,
Ans,activity__profile__settings,Instellingen,Paramètres,12,10,83%,FALSE,,,,,
Ans,activity__profile__user__|,address_delete,address_delete,14,14,100%,TRUE,,,,,
Ans,,credit_card_delete,credit_card_delete,18,18,100%,TRUE,,,,,
Ans,,club_card_delete,club_card_delete,16,16,100%,TRUE,,,,,
Ans,activity__profile__user__|__title,,,0,0,#DIV/0!,TRUE,,,,,
Ans,,Jouw extra voordeelkaart verwijderen,Supprimer Votre carte maxi avantages,36,36,100%,FALSE,,,,,
Ans,activity__profile__user__|__tittle,Adres verwijderen,Supprimer l'adresse,17,19,112%,FALSE,,,,,
Ans,,Creditcard verwijderen,Supprimer la carte de crédit,22,28,127%,FALSE,,,,,
Ans,activity__profile__user__|__confirmation,Wil je dit adres verwijderen?,Souhaitez-vous supprimer cette adresse ?,29,40,138%,FALSE,,,,,
Ans,,Weet je zeker dat je deze creditcard wilt verwijderen?,Êtes-vous sûr(e) de vouloir supprimer cette carte de crédit ?,54,61,113%,FALSE,,,,,
Ans,,Wil je deze Jouw extra voordeelkaart verwijderen?,Souhaitez-vous supprimer Votre carte maxi avantages ?,49,53,108%,FALSE,,,,,
Ans,activity__profile__menu__camera_actions_title_remove_image,Verwijder afbeelding,Supprimer l'image,20,17,85%,FALSE,,,PickerRemoveTitle,Verwijder afbeelding,
Ans,activity__profile__menu__user_profile_disconnect,Uitloggen,Déconnexion,9,11,122%,FALSE,,,MenuItems,Uitloggen,
Ans,activity__profile__hint_name,Gebruikersnaam,Nom d'utilisateur,14,17,121%,FALSE,,,,,
Ans,activity__profile__select_platform,Selecteer platform,Sélectionner la plateforme,18,26,144%,FALSE,,,SelectPlatform,Selecteer platform,
Ans,activity__profile__club_membership__add,Nieuwe kaart toevoegen,Ajouter une nouvelle carte,22,26,118%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__bottom_points,Punten,Points,6,6,100%,FALSE,,,NumberOfPointsText2,Punten,
Ans,activity__profile__club_membership__input_form__top_points,Je hebt,Vous avez,7,9,129%,FALSE,,,NumberOfPointsText1,Je hebt,
Ans,activity__profile__club_membership__input_form__error_title,"Sorry, er ging iets fout","Désolés, une erreur est survenue.",24,33,138%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__tell_us_more__=,<u>Vertel ons meer<br>over jezelf</u>,<u>Parlez-nous<br>de vous</u>,37,29,78%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__tell_us_more__policy_format,Door ons de gegevens van je kind te geven ga je akkoord met ons %1$s en onze marketingcommunicatie,"En saisissant les données de votre enfant, vous marquez votre accord avec notre %1$s et nos communications marketing",98,116,118%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__tell_us_more__policy_text,Privacybeleid,Politique de confidentialité,13,28,215%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__personal_marketing,<u>Persoonlijke<br>voorkeuren</u>,<u>Préférences<br>personnelles</u>,33,34,103%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__detector_unknown_error,"Sorry, er ging iets fout. Probeer opnieuw","Désolés, une erreur est survenue. Veuillez réessayer",41,52,127%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__replace_card,<u>Vervangkaart</u>,<u>Carte remplaçante</u>,19,24,126%,FALSE,,,ReplaceButtonText,Vervangkaart,
Ans,activity__profile__club_membership__input_form__unknown_error,"Sorry, er ging iets fout. Probeer opnieuw","Désolés, une erreur est survenue. Veuillez réessayer",41,52,127%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__insert_card_number,Vul je kaartnummer in,Saisissez votre numéro de carte,21,31,148%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__get_card,Haal een gratis Jouw Extra Voordeelkaart bij jouw Kruidvat winkel,Retirez Votre carte maxi avantages gratuite dans un magasin Kruidvat,65,68,105%,FALSE,,,NoCardYetText2,Haal een gratis Jouw Extra Voordeelkaart bij jouw Kruidvat winkel,
Ans,activity__profile__club_membership__input_form__logged_in_as,ingelogd als: <u>%1$s</u>,connecté(e) comme : <u>%1$s</u>,25,31,124%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__invalid_card_number,"Sorry, er gaat iets mis. Dit kaartnummer is niet correct, of deze kaart is al geregistreerd met een ander e-mailadres","Désolés, une erreur est survenue. Ce numéro de carte n'est pas correct ou la carte a déjà été enregistrée avec une autre adresse e-mail",117,135,115%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__policy__format,"Bedankt voor het koppelen van je kaart. Nu je een klantenkaart aan een online account hebt gekoppeld, raden we je aan om ons %1$s door te nemen. Mocht je jouw marketingvoorkeuren willen aanpassen, ga dan naar het dashboard Privacyvoorkeuren in ‘Mijn account’.","Merci d'avoir connecté votre carte. Maintenant que vous avec connecté une carte de fidélité à un compte en ligne, nous vous conseillons de lire notre %1$s. Vous pouvez modifier vos paramètres de marketing dans les Paramètres de confidentialité dans le menu « Mon compte ».",259,272,105%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__policy__=,Privacybeleid,Politique de confidentialité,13,28,215%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__form_policy,Privacybeleid,Politique de confidentialité,13,28,215%,FALSE,,,,,
Ans,activity__profile__club_membership__input_form__get_card_title,Heb je de Jouw Extra Voordeelkaart nog niet?,Vous n'avez pas encore Votre carte maxi avantages ?,44,51,116%,FALSE,,,NoCardYetText1,Heb je de Jouw Extra Voordeelkaart nog niet?,
Ans,activity__profile__address_add,Voeg nieuw adres toe,Ajouter une nouvelle adresse,20,28,140%,FALSE,,,,,
Ans,activity__profile__credit_card_add,Nieuwe creditcard toevoegen,Ajouter une nouvelle carte de crédit,27,36,133%,FALSE,,,,,
Ans,activity__profile__application_version_format,Versie %1$s (%2$d) %3$s %4$s,Version %1$s (%2$d) %3$s %4$s,28,29,104%,FALSE,,,,,
Ans,activity__profile__section_orders_none,Geen bestellingen,Aucune commande,17,15,88%,FALSE,,,,,
Ans,activity__profile__focused__address_description,Selecteer je adres door op de kaart te drukken,Sélectionnez votre adresse en tapant sur la carte,46,49,107%,FALSE,,,,,
Ans,activity__profile__focused__favourite_store_description,Selecteer je adres door op de kaart te drukken,Sélectionnez votre adresse en tapant sur la carte,46,49,107%,FALSE,,,,,
Ans,activity__profile__change_language,Wijzig taal,Changer la langue,11,17,155%,FALSE,,,,,
Ans,activity__profile__favorite_store_picker_not_picked,Kies winkel,Choisir le magasin,11,18,164%,FALSE,,,,,
Ans,activity__profile__popup__app_version,Versie app,Version de l'appli,10,18,180%,FALSE,,,,,
Ans,activity__profile__popup__window_start_beacon,Start Beacon activiteit,Démarrer l'activité beacon,23,26,113%,FALSE,"to be translated? or what is a ""Beacon"" in this context? ",,,,
Ans,activity__profile__input_form__kruidvat_more_info__interests__baby_n_toddler,Baby & Kind,Bébés & Enfants,11,15,136%,FALSE,,,,,
Ans,activity__profile__input_form__kruidvat_more_info__interests__mens_care,Mannenverzorging,Soins pour hommes,16,17,106%,FALSE,,,Interest3,Mannenverzorging,
Ans,activity__profile__input_form__kruidvat_more_info__interests__health,Gezondheid,Santé,10,5,50%,FALSE,,,Interest1,Gezondheid,
Ans,activity__profile__input_form__kruidvat_more_info__interests__beauty,Beauty,Beauté,6,6,100%,FALSE,,,,,
Ans,activity__profile__input_form__kruidvat_more_info__interests__description,Geeft uw interessegebieden aan om de aanbiedingen persoonlijker te maken.,Saisissez vos centres d'intérêt pour nous permettre de personnaliser les offres.,73,80,110%,FALSE,,,InterestsDescriptionText,Geeft uw interessegebieden aan om de aanbiedingen persoonlijker te maken.,
Ans,activity__profile__input_form__kruidvat_more_info__interests__title,Geef uw interessegebieden aan,Indiquez vos centres d'intérêt,29,30,103%,FALSE,,,InterestsTitleText,Geef uw interessegebieden aan,
Ans,activity__profile__input_form__kruidvat_more_info__mama_benefits__send,Verzenden,Envoyer,9,7,78%,FALSE,,,BabyAndMamaBenefitsSendButtonText,Verzenden,
Ans,activity__profile__input_form__kruidvat_more_info__mama_benefits__invalid_date,Controleer de datum: DD/MM/JJJJ,Veuillez vérifier la date : DD/MM/JJJJ,31,38,123%,FALSE,,,BabyAndMamaBenefitsDatePlaceholderText,DD/MM/JJJJ,
Ans,activity__profile__input_form__kruidvat_more_info__mama_benefits__title,Gratis Jouw Blije Baby Voordeel tas,Cabas Maman & Bébé gratuit,35,26,74%,FALSE,,suggestie : Cabas du Club des Bébés Heureux gratuit -> huidige website gebruikt Cabas Maman & Bébé.,BabyAndMamaBenefitsTitleText,Gratis Jouw Blije Baby Voordeel tas,
Ans,activity__profile__input_form__kruidvat_more_info__mama_benefits__description,Ben je in verwachting? Vraag nu de GRATIS Jouw Blije Baby Voordeel tas aan.,Vous attendez un bébé ? Demandez le Cabas Maman & Bébé GRATUIT.,75,63,84%,FALSE,,idem,,,
Ans,activity__profile__input_form__kruidvat_more_info__mama_benefits__no_date,Kies datum,Choisir la date,10,15,150%,FALSE,,,,,
Ans,activity__profile__input_form__kruidvat_more_info__toddlers__benefits__gender__male,Jongen,Garçon,6,6,100%,FALSE,,,,,
Ans,activity__profile__input_form__kruidvat_more_info__toddlers__benefits__gender__female,Meisje,Fille,6,5,83%,FALSE,,,,,
Ans,activity__profile__input_form__kruidvat_more_info__toddlers__benefits__name_hint,Naam,Nom,4,3,75%,FALSE,,,BabiesAndToddlerNamePlaceholderText,Naam,
Ans,activity__profile__input_form__kruidvat_more_info__toddlers__benefits__add,#NAME?,#NAAM?,#NAME?,6,#NAME?,#NAME?,,,,,
Ans,activity__profile__input_form__kruidvat_more_info__toddlers__n_babies__empty__date,Vul datum in,Veuillez saisir une date,12,24,200%,FALSE,,,,,
Ans,activity__profile__input_form__kruidvat_more_info__toddlers__n_babies__empty__name,Vul je naam in,Veuillez saisir votre nom,14,25,179%,FALSE,,,,,
Ans,activity__profile__input_form__kruidvat_more_info__toddlers__n_babies__description,Heb je kinderen? Laat het ons weten. Je ontvangt dan aanbiedingen en tips passend bij de leeftijd.,Vous avez des enfants ? Faites-le nous savoir. Vous recevrez des offres et des conseils adaptés à leur âge.,98,107,109%,FALSE,,,BabiesAndToddlerDescriptionText,Heb je kinderen? Laat het ons weten. Je ontvangt dan aanbiedingen en tips passend bij de leeftijd,
Ans,activity__profile__input_form__kruidvat_more_info__toddlers__n_babies__not_filled,Vul dit veld in,Veuillez remplir ce champ,15,25,167%,FALSE,,,,,
Ans,activity__profile__input_form__kruidvat_more_info__toddlers__n_babies__title,Advies en voordelen voor kinderen,Conseils et avantages pour enfants,33,34,103%,FALSE,,,BabiesAndToddlerTitleText,Advies en voordelen voor kinderen,
Ans,activity__profile__input_form__kruidvat_more_info__toddlers__n_babies__invalid_date,Controleer de datum: DD/MM/JJJJ,Veuillez vérifier la date : DD/MM/JJJJ,31,38,123%,FALSE,,,BabiesAndToddlerDatePlaceholderText,DD/MM/JJJJ,
Ans,activity__profile__input_form__personal_marketing__messages_post_title,Wil je informatie van Kruidvat per post ontvangen?,Souhaitez-vous recevoir des informations de la part de Kruidvat par la poste ?,50,78,156%,FALSE,,,MessagesViaPostTitleText,Wil je informatie van Kruidvat per post ontvangen?,
Ans,activity__profile__input_form__personal_marketing__personal_title,Wil je op jou afgestemde acties en/of aanbiedingen ontvangen?,Souhaitez-vous recevoir des offres adaptées à vos centres d'intérêt ?,61,69,113%,FALSE,,,,Wil je op jou afgestemde acties en/of aanbiedingen ontvangen?,
Ans,activity__profile__input_form__personal_marketing__partners_title,Wil je aanbiedingen van onze partners ontvangen?,Souhaitez-vous recevoir des offres de la part de nos partenaires ?,48,66,138%,FALSE,,recevoir toegevoegd,OffersFromPartnersTitleText,Wil je aanbiedingen van onze partners ontvangen?,
Ans,activity__profile__input_form__personal_marketing__email_title,Wil je e-mail van Kruidvat ontvangen?,Souhaitez-vous recevoir des e-mails de la part de Kruidvat ?,37,60,162%,FALSE,,,MessagesViaEmailTitleText,Wil je e-mail van Kruidvat ontvangen?,
Ans,activity__profile__input_form__personal_marketing__sms_title,Wil je sms'jes of notificaties ontvangen?,Souhaitez-vous recevoir des SMS ou des notifications ?,41,54,132%,FALSE,,,,,
Ans,activity__profile__input_form__personal_marketing__3rd_party_title,Wil je gepersonaliseerde berichten van derden ontvangen?,Souhaitez-vous recevoir des messages personnalisés de la part de tiers ?,56,72,129%,FALSE,,,PersonalizeVia3dPartyTitleText,Wil je gepersonaliseerde berichten van derden ontvangen?,
Ans,activity__profile__input_form__personal_marketing__social_title,Wil je berichten van Kruidvat op social media ontvangen?,Souhaitez-vous recevoir des messages de la part de Kruidvat sur les médias sociaux ?,56,84,150%,FALSE,,,PersonalMarketingPopup,Wil je berichten van Kruidvat op social media ontvangen?,
Ans,activity__profile__input_form__personal_marketing__error_title,"Sorry, er ging iets fout","Désolés, une erreur est survenue.",24,33,138%,FALSE,,,,,
Ans,activity__profile__input_form__personal_marketing__title,Privacy voorkeuren,Paramètres de confidentialité,18,29,161%,FALSE,,,TitleLabelText,Privacy voorkeuren,
Ans,activity__profile__input_form__personal_marketing__policy,Door deze app te gebruiken gaat u akkoord met de privacy-en algemene voorwaarden,"En utilisant cette application, vous marquez votre accord avec notre politique de confidentialité et nos conditions générales.",80,126,158%,FALSE,,,,,
Ans,activity__profile__input_form__personal_marketing__birthday_title,Mogen we je verrassen met een verjaardagsaanbieding?,"Le jour de votre anniversaire, pourrions-nous vous surprendre avec une offre d'anniversaire ?",52,93,179%,FALSE,,"surprise suggereert iets gratis, maar is dat zo ? Of is het een aanbieding/promo die je krijgt ? -> het staat hier inderdaad dubbel, dit was volgens mij niet mijn bedoeling, er had 'offre' moeten staan.
suggestie : offre pour fêter l'occasion/ offre d'anniversaire/...",,,
Ans,activity__profile__input_form__personal_marketing__newsletter_title,Wil je onze email nieuwsbrief ontvangen?,Souhaitez-vous recevoir notre newsletter par e-mail ?,40,53,133%,FALSE,,,SignUpForNewsLetterTitleText,Wil je onze email nieuwsbrief ontvangen?,
Ans,activity__profile__input_form__personal_marketing__news_letter_description,Je gaat akkoord met ons %1$s,Vous marquez votre accord avec notre %1$s,28,41,146%,FALSE,,,,,
Ans,activity__profile__input_form__personal_marketing__update_error_title,Fout,Erreur,4,6,150%,FALSE,,,,,
Ans,activity__profile__input_form__personal_marketing__generic_error,"Sorry, er ging iets fout. Probeer het ajb. nog een keer.","Désolés, une erreur est survenue. Veuillez réessayer.",56,53,95%,FALSE,,,,,
Ans,activity__profile__input_form__personal_marketing__extra_offer__title,Wil je relevante extra persoonlijke aanbiedingen via e-mail ontvangen?,Vous souhaitez recevoir des offres personnelles par e-mail ?,70,60,86%,FALSE,,,RecieveMethodTitleText,Wil je relevante extra persoonlijke aanbiedingen via e-mail ontvangen?,
Ans,activity__profile__input_form__personal_marketing__extra_offer__none,Niet versturen,Ne pas envoyer,14,14,100%,FALSE,,,DoNotSendRecieveMethodText,Niet versturen,
Ans,activity__profile__input_form__personal_marketing__extra_offer__interval__weekly,Ik wil deze email graag 1 x per week ontvangen.,Je souhaite recevoir cet e-mail une fois par semaine.,47,53,113%,FALSE,,,OnceAWeekRecieveMethodText,Ik wil deze email graag 1 x per week ontvangen,
Ans,activity__profile__input_form__personal_marketing__extra_offer__interval__daily,Ik wil deze email elke dag ontvangen.,Je souhaite recevoir cet e-mail tous les jours.,37,47,127%,FALSE,,,EveryDayRecieveMethodText,Ik wil deze email elke dag ontvangen,
Ans,activity__profile__input_form__personal_marketing__push_title,Wil je push berichten van ons ontvangen?,Souhaitez-vous recevoir des notifications push de notre part ?,40,62,155%,FALSE,,,PushNotificationsTitleText,Wil je push berichten van ons ontvangen?,
Ans,activity__profile__input_form__something_went_wrong,"Er gaat iets fout, probeer opnieuw.","Une erreur est survenue, veuillez réessayer.",35,44,126%,FALSE,,une > Une,,,
Ans,activity__profile__input_form__opt_out__notifications,Ik wil geen notificaties,Je ne souhaite pas recevoir de notifications,24,44,183%,FALSE,,,,,
Ans,activity__profile__input_form__opt_out__phone_calls,Ik wil geen telefonische aanbiedingen ontvangen,Je ne souhaite pas recevoir d'offres par téléphone,47,50,106%,FALSE,,,,,
Ans,activity__profile__input_form__opt_out__sms,Schakel SMS-berichten uit,Désactiver les notifications par SMS,25,36,144%,FALSE,,,Offer0,Schakel SMS-berichten uit,
Ans,activity__profile__input_form__more_info__toddlerns_and_babies_update_successful,Succesvol aangepast,Modification réussie,19,20,105%,FALSE,,,,,
Ans,activity__profile__input_form__more_info__title,Vertel ons meer,Merci de compléter vos informations,15,35,233%,FALSE,,,TitleLabelText,Vertel ons meer,
Ans,activity__profile__input_form__more_info__price_title,Prijs,Prix,5,4,80%,FALSE,,,,,
Ans,activity__profile__input_form__more_info__product_variants,Productvarianten,Variantes du produit,16,20,125%,FALSE,,,ProductVariants,Varianten,
Ans,activity__profile__input_form__more_info__incomplete_fields_error__message,Vul de ontbrekende informatie in,Merci de saisir les informations manquantes,32,43,134%,FALSE,,,,,
Ans,activity__profile__input_form__more_info__incomplete_fields_error__title,"Sorry, er ontbreekt wat informatie","Désolés, il manque quelques informations",34,40,118%,FALSE,,,,,
Ans,activity__profile__input_form__more_info__mama_benefits_update_successful,Succesvol aangepast,Modification réussie,19,20,105%,FALSE,,,,,
Ans,activity__profile__input_form__more_info__error_title,"Sorry, er ging iets fout","Désolés, une erreur est survenue.",24,33,138%,FALSE,,,,,
Ans,activity__profile__input_form__more_info__toddlers_benefits_send,Verzenden,Envoyer,9,7,78%,FALSE,,,BabiesAndToddlerSendButtonText,Verzenden,
Ans,activity__profile__input_form__more_info__interests_update_success,Je interesses zijn aangepast,Vos centres d'intérêt ont été adaptés,28,37,132%,FALSE,,,,,
Ans,activity__home_page__section__friends_and_family_invite__title,Nodig je vrienden en familie uit,Invitez vos amis et les membres de votre famille,32,48,150%,FALSE,,,,,
Ans,activity__home_page__section__friends_and_family_invite__promp,Blij met deze app? Deel ‘m met je vrienden en familie,Vous aimez cette appli ? Partagez-la avec vos amis et les membres de votre famille,53,82,155%,FALSE,,,,,
Ans,activity__home_page__section__friends_and_family_invite__button,Deel app,Partager l'appli,8,16,200%,FALSE,,,,,
Ans,activity__home_page__section__club_membership__title,Maak nu een account aan. Je krijgt toegang tot alle extra’s van deze app.,Créez instantanément votre compte. Vous aurez accès à tous les extras qu'offre notre appli.,73,91,125%,FALSE,,,CompleteRegistration,Maak nu een account aan. Je krijgt toegang tot alle extra’s van deze app,
Ans,activity__home_page__section__club_membership__attach_card,JOUW KAART,VOTRE CARTE,10,11,110%,FALSE,,,AttachCard,JOUW KAART,
Ans,activity__home_page__section__club_membership__register,LOG IN,CONNEXION,6,9,150%,FALSE,,,,,
Ans,activity__home_page__section__club_membership__add_title,Exclusieve extra's zijn er speciaal voor onze kaarthouders,Les titulaires d'une carte maxi avantages profitent d'extras exclusifs,58,70,121%,FALSE,,,,,
Ans,activity__home_page__section__club_membership__points_title,Hallo %1$s! Wat fijn je te zien!,Bonjour %1$s ! Quel plaisir de vous revoir !,32,44,138%,FALSE,,,GreatToSeeYou,Wat fijn je te zien!,
Ans,activity__home_page__section__club_membership__add_prompt,Spaar punten en krijg <br>exclusieve extra’s,Cumulez des points et recevez <br>des extras exclusifs,44,54,123%,FALSE,,,,,
Ans,activity__home_page__nearest_store__title,Dichstbijzijnde winkel,Magasin à proximité,22,19,86%,FALSE,,,Location,Dichstbijzijnde winkel,
Ans,activity__home_page__nearest_store__grant_location_permission,Toestemming verlenen,Marquer votre accord,20,20,100%,FALSE,,,,,
Ans,activity__home_page__nearest_store__description,Zoek je de dichtstbijzijnde winkel? Geef toestemming om je locatie te zien. ,Vous cherchez un magasin à proximité ? Veuillez autoriser la géolocalisation.,76,77,101%,FALSE,,,,,
Ans,activity__home_page__best__seller_add_to_cart_button,In winkelmand,Ajouter au panier,13,17,131%,FALSE,,,BestSellers,In winkelmand,
